VS	kaṇāda_vaiśeṣikasūtra
MīmS	jaimini_mīmāṃsāsūtra
MMK	nāgārjuna_mūlamadhyamakakārikā
ViVy	nāgārjuna_vigrahavyāvartanī
NS	gautama_nyāyasūtra
YSBh	patañjali_yogasūtrabhāṣya
SK	īśvarakṛṣṇa_sāṃkhyakārikā
ViṃśV	vasubandhu_viṃśikāvṛtti
NBh	vātsyāyana_nyāyabhāṣya
MīmBh	śabara_mīmāṃsābhāṣya
ĀP	dignāga_ālambanaparīkṣāvṛtti
PSV	dignāga_pramāṇasamuccayavṛtti
NPS	śaṃkarasvāmin_nyāyapraveśakasūtra
TriṃśBh	sthiramati_triṃśikābhāṣya
YD	sāṃkhya_yuktidīpikā
PDhS	praśastapāda_padārthadharmasaṃgraha
NV	uddyotakara_nyāyavārtika
PPad	candrakīrti_prasannapadā
ŚV	kumārila_ślokavārtika
PVSV	dharmakīrti_pramāṇavārtikasvavṛtti
PV	dharmakīrti_pramāṇavārtika
PVin	dharmakīrti_pramāṇaviniścaya
HB	dharmakīrti_hetubindu
NB	dharmakīrti_nyāyabindu
VN	dharmakīrti_vādanyāya
SAS	dharmakīrti_saṃtānāntarasiddhi
SP	dharmakīrti_saṃbandhaparīkṣā
BhāV	maṇḍana_bhāvanāviveka
BrS	maṇḍana_brahmasiddhi
VibhrV	maṇḍana_vibhramaviveka
VidhV	maṇḍana_vidhiviveka
PSṬ	jinendrabuddhi_pramāṇasamuccayaṭīkā
HBṬ	arcaṭa_hetubinduṭīkā
NBṬ	dharmottara_nyāyabinduṭīkā
PVA	prajñākaragupta_pramāṇavārtikālaṃkāra
VSṬ	candrānanda_vaiśeṣikasūtraṭīkā
VyV	vyomaśiva_vyomavatī
NM	jayantabhaṭṭa_nyāyamañjarī
NyKal	jayantabhaṭṭa_nyāyakalikā
TUS	jayarāśi_tattvopaplavasiṃha
NBhū	bhāsarvajña_nyāyabhūṣaṇa
SŚP	vidyānandin_satyaśāsanaparīkṣā
ŚVK	sucaritamiśra_ślokavārtikakāśikā
HBṬĀ	durvekamiśra_hetubinduṭīkāloka
NyKand	srīdhara_nyāyakandalī
AvNir	aśoka_avayavinirākaraṇa
PVV	manorathanandin_pramāṇavārtikavṛtti
TCM	gaṅgeśa_tattvacintāmaṇi
MukV	gadādhara_muktivāda
